PTU,oids,Latitude,Longitude
PTU-00000,3300050118,68.35,19.05
PTU-00000,3300046673,68.35,19.05
PTU-00000,3300048997,33.67,-117.46
PTU-00000,3300048813,68.35,19.05
PTU-00000,3300039486,63.88,-149.23
PTU-00000,3300051204,43.3,-89.33
PTU-00000,3300043661,38.99,-107.06
PTU-00000,3300036772,-33.6,150.0
PTU-00000,3300055278,41.55,-70.64
PTU-00000,3300021433,42.48,-72.18
PTU-00000,3300036831,-34.5,150.0
PTU-00000,3300025915,42.48,-85.45
PTU-00000,3300048764,68.35,19.05
PTU-00000,3300039471,40.8,-76.34
PTU-00000,3300061678,53.55,-114.2
PTU-00000,3300029889,47.51,-93.45
PTU-00000,3300048780,68.35,19.05
PTU-00000,3300050128,68.35,19.05
PTU-00000,3300048796,68.35,19.04
PTU-00000,3300050044,68.35,19.05
PTU-00000,3300050126,68.35,19.05
PTU-00000,3300049985,38.92,-106.95
PTU-00000,3300050018,68.35,19.05
PTU-00000,3300021474,42.48,-72.18
PTU-00000,3300048815,68.35,19.05
PTU-00000,3300050035,68.36,19.04
PTU-00000,3300048791,68.35,19.05
PTU-00000,3300044653,42.3,-72.12
PTU-00000,3300043379,38.93,-107.01
PTU-00000,3300050125,68.35,19.05
PTU-00000,3300050017,68.35,19.05
PTU-00000,3300037258,37.0,-122.2
PTU-00000,3300029817,47.51,-93.45
PTU-00000,3300048810,68.35,19.05
PTU-00000,3300043654,38.99,-107.06
PTU-00000,3300021405,42.48,-72.18
PTU-00000,3300043250,42.53,-72.19
PTU-00000,3300050192,68.35,19.05
PTU-00000,3300021180,42.48,-72.18
PTU-00000,3300052304,47.51,-93.45
PTU-00000,3300050117,68.35,19.05
PTU-00000,3300049456,35.88,-106.54
PTU-00000,3300048825,68.35,19.05
PTU-00000,3300050127,68.35,19.05
PTU-00000,3300051665,49.04,13.31
PTU-00000,3300021401,42.48,-72.18
PTU-00000,3300005542,40.8,-76.34
PTU-00000,3300048818,68.35,19.05
PTU-00000,3300050011,68.36,19.05
PTU-00000,3300048824,68.35,19.05
PTU-00000,3300021181,42.48,-72.18
PTU-00000,3300021477,42.48,-72.18
PTU-00000,3300050028,68.35,19.05
