KO	Meta	Isolate	log_odds	p	padj
K01137	64.0	95.0	-2.813406629534197	5.283039714589846e-61	7.093153589990871e-61
K01581	82.0	119.0	-2.794907107579945	2.1205789458871328e-75	3.1198176736200826e-75
K22251	4230.0	2284.0	-2.0803830787671393	0.0	0.0
K18314	153.0	177.0	-2.5776163706057127	1.7057676764411146e-101	2.995261053161677e-101
K02074	96.0	160.0	-2.9379513605646435	3.493095368503124e-106	6.285814446806916e-106
K01506	230.0	323.0	-2.7888904368561658	2.043419009096046e-200	5.318837004965176e-200
K16138	1235.0	824.0	-2.101852626925573	0.0	0.0
K04127	232.0	242.0	-2.4821906156485203	6.484876358053292e-132	1.300611165443768e-131
K19621	480.0	473.0	-2.4526554957406694	3.674716372866332e-251	1.1603391926427861e-250
K03609	3014.0	1178.0	-1.5969924009986658	0.0	0.0
K06288	3.0	160.0	-6.1273507296622	3.2269834491149945e-169	7.433639886461771e-169
K14454	54.0	83.0	-2.8455379122411126	3.5426716415644563e-54	4.5201782371859354e-54
K05802	49.0	73.0	-2.8129035563118094	2.757258741489145e-47	3.334545225157604e-47
K07696	2234.0	1643.0	-2.3074283746475346	0.0	0.0
K12426	163.0	242.0	-2.8341172659560083	1.7875744854964864e-153	3.9143738624251877e-153
K17750	158.0	241.0	-2.8608828712712002	2.0820682480701436e-154	4.577259783290289e-154
K08877	112.0	40.0	-1.4022796507404605	2.727361753261164e-11	2.7943182611153663e-11
K21900	5483.0	2208.0	-1.7594659707066915	0.0	0.0
K07002	56.0	77.0	-2.7349435054361293	2.6836057362460322e-48	3.2691553216054804e-48
K13774	4143.0	2269.0	-2.093000975382564	0.0	0.0
K06188	131.0	98.0	-2.1354185619782684	1.9312099330960886e-45	2.302189798844373e-45
K13747	46.0	104.0	-3.228572617185881	1.6651450865049248e-76	2.462074577270937e-76
K19286	256.0	204.0	-2.2090088394056626	1.3347506667239165e-96	2.2767136713056453e-96
K23808	44.0	115.0	-3.373085337713408	7.504482650073659e-88	1.207274304901024e-87
K13776	352.0	443.0	-2.6941541348654336	3.187896199330699e-263	1.053794334405818e-262
K16389	546.0	463.0	-2.300707261010178	4.7385944535346945e-227	1.3583789938924872e-226
K20439	189.0	166.0	-2.3019741677839924	3.2553648972686802e-83	5.0851114802001095e-83
K22933	37.0	92.0	-3.318367488747972	1.2221945395139913e-69	1.7285372081011206e-69
K24126	171.0	145.0	-2.264668440322596	1.7740444025853642e-71	2.5420355845915604e-71
K15966	216.0	186.0	-2.284446017556758	4.2451745094070745e-92	7.049016559386814e-92
K05783	4104.0	2267.0	-2.1016840662017087	0.0	0.0
K03726	166.0	49.0	-1.2106495879417654	5.013049831429282e-11	5.131920187203157e-11
K18384	76.0	121.0	-2.8867863499233506	2.5308637081711082e-79	3.8314889511852816e-79
K12434	29.0	71.0	-3.296287490275303	7.579440938418911e-54	9.653570757782784e-54
K07404	87.0	97.0	-2.5310810658522085	2.4798059839338353e-55	3.1908705980320264e-55
K03585	1294.0	969.0	-2.236647280927485	0.0	0.0
K12570	61.0	39.0	-1.978265061890761	2.5290863275226282e-17	2.6239205154823537e-17
K20437	330.0	308.0	-2.3787582576545523	1.0480199149482452e-158	2.340982932230514e-158
K14747	66.0	80.0	-2.611310513533266	1.3132061201181813e-47	1.590456166759819e-47
K21742	2125.0	1327.0	-2.0973047034108694	0.0	0.0
K13299	63.0	63.0	-2.419471544402509	1.0906149188318307e-34	1.2177925336699684e-34
K10910	34.0	123.0	-3.692198459391077	2.8116924153140305e-101	4.9268564086398406e-101
K21639	61.0	49.0	-2.202645332038205	1.8930286489204872e-24	2.0093869168702417e-24
K15762	244.0	365.0	-2.857209528753098	3.5378428345328626e-232	1.0379330354622482e-231
K08070	150.0	102.0	-2.0408430682146337	1.5094551096834799e-44	1.7853923451334122e-44
K12049	2164.0	131.0	0.3929108239030629	3.7926276564126984e-6	3.838617482480759e-6
K16022	279.0	300.0	-2.5193899163618516	8.006827407303291e-166	1.8284629118000403e-165
K00294	1540.0	1354.0	-2.44985511073122	0.0	0.0
K00212	80.0	65.0	-2.2147448680113353	3.9493025732262223e-32	4.343972608547534e-32
K05523	134.0	118.0	-2.299418693171859	1.2199349274603167e-59	1.6226916644678e-59
K01666	90.0	133.0	-2.814906487949664	1.0875239697472324e-84	1.7142965188838968e-84
K07063	508.0	102.0	-0.8217236072715469	7.581582927263153e-12	7.7788500921397e-12
K01559	38.0	115.0	-3.516248896685587	4.295802462022329e-91	7.083759871520521e-91
K10854	127.0	161.0	-2.666615180167337	3.6157181050289856e-96	6.148562400674078e-96
K26069	128.0	200.0	-2.8794591240575786	2.0236526732829723e-129	4.005712485296887e-129
K06871	334.0	184.0	-1.8379092647405746	2.1365574346746204e-68	3.002210895861532e-68
K05499	963.0	949.0	-2.511886123383417	0.0	0.0
K18228	30.0	74.0	-3.3046828774567167	3.5729250065557955e-56	4.625958746854039e-56
K01912	105.0	117.0	-2.53300393142369	2.0405516578734297e-66	2.840211979608153e-66
K10020	539.0	789.0	-2.8895224415811196	0.0	0.0
K03819	95.0	115.0	-2.6148575440192223	9.61634672751745e-68	1.3463423095165609e-67
K18225	567.0	692.0	-2.694449249108751	0.0	0.0
K13873	236.0	315.0	-2.737151260628358	1.728939269081724e-191	4.303443270159678e-191
K19584	106.0	11.0	-0.22466258379460727	0.6123259830686343	0.6133057046415441
K10530	146.0	121.0	-2.239403991258294	3.9139146822522696e-59	5.181307091916301e-59
K12059	525.0	271.0	-1.7811356277569006	2.591711565849613e-95	4.386377668730943e-95
K26115	125.0	207.0	-2.938142657995001	9.387278301792045e-137	1.925122429786018e-136
K20789	493.0	427.0	-2.31773565332569	1.0704434252540732e-211	2.869796934514132e-211
K08221	3957.0	2129.0	-2.0536272961307653	0.0	0.0
K13639	69.0	57.0	-2.230611181161303	1.2695906552725508e-28	1.3729453685175847e-28
K11073	237.0	342.0	-2.8183973424958118	1.6490054337942686e-214	4.4784269047948465e-214
K18814	152.0	143.0	-2.3678872281999195	1.6651829290534114e-74	2.439086314331525e-74
K16100	136.0	242.0	-3.0142966840873884	8.88742203081186e-164	2.0157703591624003e-163
K10199	2252.0	1912.0	-2.4934104046520256	0.0	0.0
K22133	1264.0	1141.0	-2.448134265674567	0.0	0.0
K19666	1056.0	490.0	-1.696390779129441	6.267033948781643e-158	1.3942828083295632e-157
K24011	153.0	276.0	-3.0324377973334977	1.3350524208519349e-187	3.279030173431334e-187
K21702	4200.0	2288.0	-2.0902865660862293	0.0	0.0
K12466	3673.0	2152.0	-2.1459808716445554	0.0	0.0
K13938	3983.0	2219.0	-2.103395872759408	0.0	0.0
K22211	157.0	129.0	-2.231638466397836	1.2079665916987465e-62	1.6394299976225805e-62
K24442	480.0	631.0	-2.7613100617441977	0.0	0.0
K12909	192.0	174.0	-2.3340769142949562	1.2480458950543471e-88	2.0227229263534532e-88
K13789	40.0	80.0	-3.102703588320498	4.4156263090518414e-57	5.751224071711734e-57
K02406	53.0	72.0	-2.722170635620078	4.790015129507649e-45	5.691197098119646e-45
K03793	4429.0	2337.0	-2.064218100221902	0.0	0.0
K13604	45.0	68.0	-2.825746430482247	2.2153340490150245e-44	2.617219371896023e-44
K19281	64.0	85.0	-2.7021581805100383	1.9655161790678484e-52	2.4700890902815018e-52
K15521	492.0	516.0	-2.520380229983311	8.416025939171738e-283	2.989181411586671e-282
K12214	295.0	69.0	-0.9758204856054329	7.629803029360995e-11	7.804341007156834e-11
K22935	160.0	219.0	-2.7502522203913253	1.3089072966076542e-134	2.659232349456849e-134
K03732	155.0	84.0	-1.8138877542975804	1.1724573208008805e-31	1.2848285038448162e-31
K10702	437.0	366.0	-2.2769792723326696	6.120578514072795e-178	1.4533834612838576e-177
K23323	45.0	55.0	-2.6153777605357145	2.5450098400006652e-33	2.8166650339720073e-33
K12640	38.0	75.0	-3.0883961793469563	2.181490896510859e-53	2.760208794776752e-53
K15402	47.0	117.0	-3.325860351629072	3.2468290166262377e-88	5.240128815747405e-88
K25143	130.0	173.0	-2.716388194918087	2.4204972075239556e-105	4.338528996163196e-105
K19979	46.0	75.0	-2.901727348336568	3.8461242438639185e-50	4.760600645889892e-50
K01799	75.0	172.0	-3.255555324835432	3.337507681584875e-126	6.518813755607275e-126
K09697	4726.0	2775.0	-2.246871340651395	0.0	0.0
K06019	388.0	397.0	-2.4812733436800523	1.903674200181486e-214	5.167263086454679e-214
K00043	266.0	408.0	-2.887642906673318	3.738940691206165e-262	1.2286492770052804e-261
K14733	368.0	375.0	-2.474557444834849	4.296936351489552e-202	1.1231240734999832e-201
K20861	88.0	70.0	-2.19411857758134	4.451885465366625e-34	4.9588617461201204e-34
K22606	4323.0	2328.0	-2.0842489148667243	0.0	0.0
K16400	537.0	476.0	-2.3467359412731676	3.136300100012049e-239	9.444732953012833e-239
K03230	163.0	94.0	-1.8762632820289729	7.2146436540519805e-37	8.141265304076682e-37
K24989	4649.0	2758.0	-2.2548540207048333	0.0	0.0
K01157	55.0	75.0	-2.7264291617093845	6.26192083078942e-47	7.552914142724812e-47
K10680	319.0	253.0	-2.209626833154015	2.898641972366989e-119	5.534273350214975e-119
K19973	4409.0	2717.0	-2.2880031043545612	0.0	0.0
K22318	1275.0	880.0	-2.1429715321913094	0.0	0.0
K13779	1124.0	782.0	-2.139174776755026	0.0	0.0
K13590	145.0	79.0	-1.8189984415021165	5.522699776453224e-30	6.0060109621015735e-30
K20480	17.0	313.0	-5.310610956973015	2.6585203e-315	1.043406713e-314
K24952	126.0	159.0	-2.6617946428543378	8.334007798841878e-95	1.4052764665521928e-94
K06151	238.0	202.0	-2.2717615046759168	3.9183110311091284e-99	6.764185330504831e-99
K12614	103.0	72.0	-2.0662310404006754	1.870717643656489e-32	2.0626494846833325e-32
K17215	583.0	754.0	-2.760601594841025	0.0	0.0
K03220	144.0	41.0	-1.176805988642263	4.296958891382857e-9	4.374704234203161e-9
K11074	896.0	1070.0	-2.7216592754983693	0.0	0.0
K16697	237.0	297.0	-2.6719683236037564	7.594450697860673e-176	1.7830759069332513e-175
K13384	81.0	69.0	-2.2618016640926624	6.778314825233458e-35	7.573806480314403e-35
K03427	1040.0	163.0	-0.5731007942241696	3.532447987754513e-10	3.6036870080820133e-10
K11249	378.0	422.0	-2.571603214820245	1.0954089205294657e-237	3.279024431566984e-237
K11201	39.0	97.0	-3.320045907310162	2.362095651427789e-73	3.4337808482874795e-73
K21118	339.0	298.0	-2.3176497566196854	9.494974743817276e-149	2.0416845649221523e-148
K00851	54.0	77.0	-2.770682591435837	5.567751553394574e-49	6.822436941375098e-49
K18282	90.0	134.0	-2.8224670253958126	1.4728263301585682e-85	2.338590444335482e-85
K13854	220.0	208.0	-2.380148697449614	4.348326743502232e-108	7.901458755972126e-108
K15649	72.0	176.0	-3.3192246024255887	1.9655920231196554e-131	3.931184046239311e-131
K01075	167.0	151.0	-2.329271312039019	5.405875225813471e-77	8.021517964703366e-77
K01552	514.0	752.0	-2.8841754580505885	0.0	0.0
