PFAM	Meta	Isolate	log_odds	p	padj
PF20628	93.0	88.0	-2.367604481728708	1.4802700049635922e-46	2.2682501461282487e-46
PF00700	51.0	80.0	-2.8649174119312826	1.1691300166533405e-52	1.9220729148518823e-52
PF13581	737.0	480.0	-2.0373050472196073	2.0587251168226577e-200	1.028477085242803e-199
PF02597	59.0	129.0	-3.200944810683761	1.1720569539789883e-93	2.9150838373588754e-93
PF11799	827.0	724.0	-2.3641457673724773	0.0	0.0
PF05992	54.0	66.0	-2.617298311167942	1.1091568250373818e-39	1.574921335306747e-39
PF12834	155.0	97.0	-1.9578261799105565	3.3314677736031407e-40	4.750767119754509e-40
PF00929	617.0	309.0	-1.7545698371585599	5.470135643208865e-106	1.4879537586855026e-105
PF13884	104.0	13.0	-0.39794950953399444	0.23872192496925565	0.24258575315117276
PF00701	391.0	566.0	-2.8496879940475877	0.0	0.0
PF03773	77.0	49.0	-1.9729009274120652	2.6050153787918495e-21	3.1370921331951612e-21
PF01839	165.0	101.0	-1.9360904384852358	3.5526162711160164e-41	5.141886353771032e-41
PF05936	110.0	150.0	-2.737597329956656	2.0906775138251664e-92	5.128451810576411e-92
PF14031	143.0	186.0	-2.695326943239833	4.077399944730072e-112	1.1693580335318465e-111
PF12860	164.0	193.0	-2.5966013734792908	2.0498917224550327e-111	5.849998121944767e-111
PF13452	253.0	287.0	-2.5713136415399713	1.248579848521565e-162	5.124471710451582e-162
PF00072	4798.0	2322.0	-1.9708578666488867	0.0	0.0
PF00763	67.0	83.0	-2.6332262140374785	8.5882755297942e-50	1.3702310477824125e-49
PF07863	251.0	9.0	0.8161092371630181	0.0030633301075563358	0.0031910833362571154
PF13442	746.0	671.0	-2.3849083127412065	0.0	0.0
PF21365	65.0	42.0	-1.9883937310880877	1.157664561111227e-18	1.3664912476937908e-18
PF10518	0.0	101.0	-7.049825660708262	1.459956846801027e-110	4.120874550569606e-110
PF20629	94.0	144.0	-2.8521221920901705	7.929459228900348e-93	1.9554282153647038e-92
PF01883	78.0	114.0	-2.8011567270734417	1.735356925908649e-72	3.533071112082201e-72
PF13292	17.0	170.0	-4.684650193160777	9.183596332313183e-163	3.775839695568765e-162
PF01063	125.0	136.0	-2.5116244187399808	3.946531252159123e-76	8.311688212842832e-76
PF07369	229.0	174.0	-2.158282593442778	2.691575151122098e-80	5.9661536985273224e-80
PF07311	78.0	39.0	-1.735770554898775	1.1788965352350319e-14	1.3530517052129344e-14
PF00271	2512.0	979.0	-1.5715710058921089	1.403632614908106e-273	9.850871795865649e-273
PF20605	718.0	67.0	-0.05437965870083767	0.7441619065495373	0.7489983140877708
PF00733	466.0	275.0	-1.9158721032123716	5.06786651713117e-107	1.388284660294305e-106
PF00023	416.0	166.0	-1.5134117691678395	5.680932567860802e-47	8.745398512352977e-47
PF01156	148.0	158.0	-2.4954010019682156	1.895235554257133e-87	4.456105458035749e-87
PF17287	50.0	74.0	-2.806637927941078	8.519676673544317e-48	1.3211754948360112e-47
PF04955	40.0	81.0	-3.1150982780048873	5.373457530282299e-58	9.329253993158281e-58
PF11776	74.0	45.0	-1.9282769213533875	3.960395437624462e-19	4.69387683755185e-19
PF00145	992.0	363.0	-1.4436947245366702	6.132445315576019e-93	1.5154968583067118e-92
PF01609	1956.0	1742.0	-2.517374248144852	0.0	0.0
PF01551	868.0	676.0	-2.2403585742560352	1.001537e-317	8.779509e-317
PF01758	275.0	349.0	-2.6909565444914456	8.394164222083547e-208	4.352598992834839e-207
PF01343	113.0	48.0	-1.572696766850888	1.628504767811486e-15	1.8820977988189462e-15
PF02683	184.0	282.0	-2.8708938686802994	6.163772088205809e-181	2.7856892141832864e-180
PF05930	2123.0	107.0	0.5770093471774665	2.2580115623367253e-10	2.4989808762783295e-10
PF05013	92.0	170.0	-3.041626201814587	9.08334550973485e-117	2.71565143103141e-116
PF00970	284.0	561.0	-3.1601183461017937	0.0	0.0
PF07804	1124.0	397.0	-1.4111197914112992	7.638411366257365e-98	1.982573140091157e-97
PF20137	315.0	35.0	-0.24101686430466412	0.2408857142696633	0.24467753137229029
PF13242	334.0	507.0	-2.8897553439366646	0.0	0.0
PF07993	207.0	786.0	-3.8430033582460967	0.0	0.0
PF03729	79.0	80.0	-2.4338382710238453	6.735690795094585e-44	1.0030134433977386e-43
PF16859	233.0	144.0	-1.9491644910547476	1.898944768978336e-58	3.309263839712434e-58
PF12666	191.0	128.0	-2.0285194400691453	5.346510458598461e-55	8.999959271974076e-55
PF13441	48.0	89.0	-3.030854677184483	7.585586857479874e-62	1.3670533956497865e-61
PF08378	746.0	318.0	-1.5933341798232483	8.865406568922944e-95	2.2482903340183405e-94
PF00932	82.0	43.0	-1.782139641894793	1.42517075684665e-16	1.6586531403581003e-16
PF01512	72.0	73.0	-2.4342246606518074	3.246790225743988e-40	4.632858534645751e-40
PF17289	395.0	10.0	1.1742609582220571	1.8624582026461478e-6	2.006720966951299e-6
PF04545	1494.0	1086.0	-2.221246745376876	0.0	0.0
PF01694	94.0	25.0	-1.1186583137608364	0.000011232650226103983	0.00001201909096049726
PF03743	12091.0	1323.0	-0.2353539509627988	3.80326075492174e-13	4.313952506681251e-13
PF04960	61.0	82.0	-2.713562211603871	7.018326193706923e-51	1.130622173923799e-50
PF06609	48.0	219.0	-3.941045836256057	7.672896816902798e-188	3.593576472916371e-187
PF00926	73.0	99.0	-2.7249548091136897	2.4712302448092705e-61	4.426112458513443e-61
PF06094	85.0	56.0	-2.0070726377643906	1.1327301856040237e-24	1.3966731534809698e-24
PF00586	87.0	110.0	-2.6572688920117935	4.550727382850245e-66	8.643777359248666e-66
PF01370	1558.0	1994.0	-2.9248212704528616	0.0	0.0
PF13087	687.0	225.0	-1.3197138138023656	3.286494327711149e-51	5.3128227719366735e-51
PF13347	175.0	289.0	-2.946195028536145	1.5471104219535685e-190	7.410180433398226e-190
