NCBIFam	Meta	Isolate	log_odds	p	padj
TIGR03748.1	326.0	43.0	-0.4083396616560652	0.02209610373543636	0.023289737479938573
TIGR02779.1	475.0	315.0	-2.03715743641268	8.302581630811953e-133	7.915756804830941e-132
TIGR03746.1	355.0	61.0	-0.6682286966905427	0.000013993802779944267	0.000015696257396220908
NF041924.1	100.0	19.0	-0.7942461140329852	0.006399745863987219	0.0068053064383843806
NF003619.0	76.0	63.0	-2.234411226128499	1.5660771701734913e-31	2.3338165999565882e-31
NF003013.0	72.0	86.0	-2.5976866362300353	9.58884833893017e-51	2.006245325776163e-50
NF040905.1	45.0	56.0	-2.633201326181697	3.747212090809355e-34	5.811295645451107e-34
NF006367.0	49.0	142.0	-3.480315500173407	5.039160623986974e-111	3.6763963161087576e-110
TIGR01266.1	62.0	58.0	-2.353264273601362	4.916621104098393e-31	7.300964789979737e-31
TIGR00254.1	1630.0	1121.0	-2.1693538144567137	0.0	0.0
NF006731.0	57.0	127.0	-3.219112386629075	9.85436569447284e-93	5.0722778022470634e-92
TIGR01782.1	181.0	38.0	-0.8746476204789696	0.000010949556267051847	0.000012324967138217118
TIGR00199.1	109.0	30.0	-1.1483991166716663	8.690594737623594e-7	9.988231486118076e-7
TIGR00786.1	195.0	365.0	-3.080890226556666	2.7824421061224843e-251	6.309375478477742e-250
TIGR02744.1	80.0	61.0	-2.151727797682114	3.422716074001149e-29	4.9088184377554945e-29
NF041546.1	1051.0	275.0	-1.0972348383695494	1.6946407407116022e-46	3.246126898303731e-46
TIGR00702.1	39.0	95.0	-3.2991767806565684	1.81111832355836e-71	6.053897503846471e-71
TIGR01428.1	152.0	193.0	-2.6722396177757615	3.9364353853695104e-115	3.08660681151871e-114
TIGR03367.1	59.0	54.0	-2.331385819168768	1.0978194486228279e-28	1.563786956527254e-28
NF003807.0	62.0	94.0	-2.8340841897626006	7.459939598223206e-61	2.0453886676174085e-60
TIGR04346.1	261.0	78.0	-1.2202844785294298	6.987132794988401e-17	8.697632663197728e-17
TIGR02194.1	71.0	116.0	-2.9115053644811972	8.29307997396777e-77	3.162679135526799e-76
TIGR02292.1	76.0	87.0	-2.5558514538731916	2.253079444776511e-50	4.633170720998756e-50
TIGR04360.1	983.0	107.0	-0.20527422310826823	0.05917178077557653	0.06167096157852013
NF010257.0	53.0	62.0	-2.5736032460821927	1.1123479548766146e-36	1.7776379697932944e-36
TIGR02073.1	42.0	62.0	-2.8015016004573043	2.9924063406971974e-40	5.113297189093582e-40
TIGR01214.1	72.0	87.0	-2.6092400119485193	1.4265890931886738e-51	3.116948565586712e-51
NF033179.1	246.0	67.0	-1.1280960419605688	3.8436790566179967e-13	4.68727722166061e-13
NF010447.0	2091.0	175.0	0.06455359923131544	0.39490394549046753	0.4025813004453247
NF041494.1	452.0	108.0	-0.9962712331832418	1.152168134685163e-16	1.4321023185197803e-16
TIGR01587.1	72.0	143.0	-3.1087291866273072	1.0351020282614468e-100	6.293120302256188e-100
TIGR03355.1	103.0	152.0	-2.8162219665825914	1.5020721517948369e-96	8.631770790108687e-96
TIGR00710.1	114.0	141.0	-2.639567533111992	1.652969334550457e-83	7.223131623374133e-83
TIGR02393.1	58.0	42.0	-2.100585024143215	5.528702932758279e-20	7.038819060067065e-20
TIGR01869.1	35.0	95.0	-3.4045787313556186	1.6228177448845382e-73	5.6030620903626644e-73
TIGR04416.1	597.0	414.0	-2.09298663446785	7.325950059199244e-180	9.7563049201082e-179
NF009489.0	114.0	198.0	-2.9842376175809022	4.902774343471347e-133	4.7280777864051265e-132
TIGR02423.1	50.0	98.0	-3.087262188098256	3.648778943993898e-69	1.1774328976964925e-68
NF041492.1	11520.0	757.0	0.3471316402569628	4.978175156370452e-20	6.347551605159285e-20
TIGR00571.1	129.0	14.0	-0.253216617931219	0.4474344144915688	0.4550272409193046
TIGR02018.1	45.0	142.0	-3.563739311537674	2.778154646456056e-113	2.138414448051955e-112
NF010295.2	91.0	89.0	-2.4004301697609307	7.567646136383692e-48	1.4697349788022956e-47
NF033883.1	78.0	34.0	-1.6016216401005414	1.1291654032912591e-11	1.3611634674732276e-11
TIGR00198.1	61.0	104.0	-2.951427933872967	4.8676409444162066e-70	1.5890858958619445e-69
TIGR01382.1	35.0	104.0	-3.4953158957674986	3.755973242723557e-82	1.6160315644333664e-81
NF008967.0	50.0	65.0	-2.6776855916707025	4.163863986804852e-40	7.057539161473274e-40
NF010298.0	69.0	49.0	-2.081199749929244	8.50118120409129e-23	1.1041007786737757e-22
NF008022.0	29.0	71.0	-3.296287490275303	7.579440938418911e-54	1.7762991472998509e-53
TIGR03571.1	86.0	54.0	-1.9595350087157857	3.9790150928566365e-23	5.1919030527320654e-23
TIGR01690.1	378.0	52.0	-0.4474067710968594	0.0061101020172921955	0.006505552782370752
NF010253.0	601.0	148.0	-1.0278710572208831	2.2723929865629725e-23	2.983627098163277e-23
TIGR01353.1	95.0	20.0	-0.8939862098712513	0.0016768059893442233	0.0018082779242413925
NF033888.1	86.0	34.0	-1.5050753217354829	9.251548525527491e-11	1.1041321782244045e-10
TIGR04085.1	141.0	173.0	-2.6356390613974625	8.05555283198008e-102	5.1201582015388537e-101
NF041281.1	123.0	32.0	-1.091212584334831	1.0820482160763085e-6	1.2402164662404684e-6
TIGR00693.1	23.0	77.0	-3.6002814590608496	7.372480124639266e-63	2.075674773346424e-62
NF002091.1	27.0	87.0	-3.567965153221682	3.020781021725003e-70	9.900137801669052e-70
TIGR00912.1	4.0	157.0	-5.885009083762208	2.1453477509474293e-164	2.6086184971665118e-163
NF010408.0	66.0	84.0	-2.660010974876204	6.06620693049835e-51	1.2917633539817553e-50
NF041414.1	91.0	83.0	-2.330689288573393	3.4803441963037206e-43	6.199594014222551e-43
TIGR00621.2	4292.0	531.0	-0.3435070386705959	4.421482047335382e-12	5.3375876801645825e-12
TIGR02780.1	3298.0	352.0	-0.1847750582856	0.0017327970319417723	0.0018638675766655729
TIGR00066.1	59.0	106.0	-3.003357498445051	1.249943996215955e-72	4.2804204605109646e-72
NF006826.0	62.0	56.0	-2.3185300503490778	1.709499021312679e-29	2.4728787566919615e-29
NF033429.2	104.0	88.0	-2.25682058065646	6.450531041997909e-44	1.1613724343854606e-43
NF009438.0	190.0	96.0	-1.7446449227339584	4.441394362972162e-34	6.8751473626081995e-34
NF004051.0	52.0	74.0	-2.7681507277429684	4.2786871497193156e-47	8.252456364631047e-47
TIGR03345.1	83.0	135.0	-2.910090479289679	5.0677716802570705e-89	2.4021810393986906e-88
TIGR03344.1	146.0	101.0	-2.0578526978253664	1.3193898686269637e-44	2.401232320559702e-44
TIGR01451.2	73.0	58.0	-2.192217287963353	1.7475635073188599e-28	2.4808896491379414e-28
TIGR03434.1	246.0	8.0	0.9014968723192888	0.0018051592514713374	0.001936737355478839
TIGR00675.1	711.0	182.0	-1.0686557105751961	4.31845983949147e-30	6.323189887143705e-30
NF009588.0	58.0	68.0	-2.5767144626439618	4.033499093109233e-40	6.8643118440540495e-40
TIGR01646.1	228.0	240.0	-2.4910316402308803	2.110569569391588e-131	1.9458987568346616e-130
TIGR02690.1	147.0	202.0	-2.7520073821914353	2.0031045306014708e-124	1.714902756300647e-123
NF033543.1	386.0	364.0	-2.3956137098366557	1.2416899175207483e-188	1.7362964013331795e-187
TIGR02141.1	64.0	50.0	-2.1752872008146302	1.5415095313041016e-24	2.0496457951888134e-24
NF010395.0	1106.0	182.0	-0.6229095278790208	1.1500556448840826e-12	1.3923473103286366e-12
NF001208.0	47.0	59.0	-2.642286370356309	4.971408980999274e-36	7.869834217091303e-36
NF009487.0	118.0	202.0	-2.970410926183002	4.971219672403079e-135	4.849829424588586e-134
TIGR01494.1	592.0	859.0	-2.88984984461763	0.0	0.0
NF006552.0	56.0	45.0	-2.202904474955208	1.3930347758010456e-22	1.7980864259955033e-22
NF010439.0	109.0	13.0	-0.351374636655932	0.3205152718311398	0.32754240324765693
TIGR03761.1	310.0	43.0	-0.4586842070438157	0.01113613466946883	0.011782114738567906
TIGR02429.1	210.0	174.0	-2.2447120101183016	2.0426070126632091e-84	9.067445945102817e-84
TIGR01892.1	53.0	136.0	-3.35969431454363	3.699396393957645e-103	2.4060415306437708e-102
NF009520.0	74.0	81.0	-2.510824726630124	4.527917552086383e-46	8.460852619600167e-46
NF008514.0	47.0	57.0	-2.6081367139755485	2.2944328154534064e-34	3.5714826199729274e-34
NF009488.0	115.0	198.0	-2.9755687333214698	1.2276036257866121e-132	1.1572578000392895e-131
TIGR01056.1	349.0	188.0	-1.8158381811759503	1.1193976133367369e-68	3.5846358686622986e-68
TIGR00929.1	2660.0	489.0	-0.7528183772752616	8.869966711324983e-43	1.5667162254319287e-42
TIGR01844.1	123.0	69.0	-1.8477867102611254	5.967478664426e-27	8.316801660221618e-27
TIGR03814.1	61.0	82.0	-2.713562211603871	7.018326193706923e-51	1.4832180545390702e-50
NF033563.0	184.0	237.0	-2.691971092767596	4.943242546777303e-142	5.057781093592875e-141
TIGR01097.1	45.0	71.0	-2.8686790595537217	5.327274703601279e-47	1.0251338248443745e-46
TIGR00976.1	177.0	125.0	-2.080477483879635	1.4752179545516193e-55	3.6190288417216625e-55
TIGR02360.1	39.0	74.0	-3.0496983622908673	4.732731353479977e-52	1.0532524152704777e-51
TIGR00797.1	146.0	106.0	-2.1063338090186687	3.756187644254881e-48	7.363180919462256e-48
NF040501.1	45.0	66.0	-2.7960839867035827	1.1987469601751974e-42	2.112917436107123e-42
TIGR01963.1	68.0	81.0	-2.594270082280269	7.94482012902817e-48	1.539423576964119e-47
TIGR01444.1	129.0	178.0	-2.753023829998454	6.025658609838398e-110	4.284345401402047e-109
NF000282.2	259.0	282.0	-2.5297461964758767	8.413967032425921e-157	9.942701887613165e-156
NF038290.1	46.0	68.0	-2.8042298368469853	5.048921848202698e-44	9.129408255694102e-44
TIGR02427.1	87.0	123.0	-2.769648521051357	4.172217895536916e-77	1.613129407537084e-76
NF033819.0	930.0	518.0	-1.883882844184279	1.0360712434937225e-193	1.5522567380200592e-192
TIGR00195.1	196.0	100.0	-1.754558206088255	1.0515113447863757e-35	1.6551932800671092e-35
TIGR02051.1	52.0	77.0	-2.8077448297362357	1.1065518267831652e-49	2.242504789060569e-49
TIGR01372.1	33.0	100.0	-3.5131549626135685	2.0674909521134257e-79	8.299640712072557e-79
NF005451.0	76.0	86.0	-2.5442980794307353	1.4772686108031724e-49	2.9793951068842826e-49
TIGR02118.1	137.0	97.0	-2.0806243814869148	1.5977890455275484e-43	2.852223423824709e-43
TIGR01003.1	35.0	71.0	-3.1139047367579193	4.817272002983055e-51	1.0336806164968755e-50
TIGR00126.1	36.0	68.0	-3.043562803617633	6.990056266664745e-48	1.3607093289400746e-47
NF037981.1	36.0	87.0	-3.289159409589921	1.9843336048642307e-65	5.92475407288644e-65
TIGR01766.2	127.0	334.0	-3.415207920991702	5.767173506620483e-254	1.3824738777298815e-252
NF010412.0	122.0	125.0	-2.45067494978327	3.971416491180169e-68	1.2526385098120911e-67
NF006551.0	123.0	166.0	-2.729435071268535	1.0494424345462519e-101	6.570762705853025e-101
NF010417.0	106.0	103.0	-2.3955578996458677	5.87177802773225e-55	1.4035389644636347e-54
TIGR00030.1	51.0	56.0	-2.510536583882935	2.2771912020294384e-32	3.4300959039545763e-32
