KO	pathway	pathway_description
K15863	map00190	Oxidative phosphorylation
K15986	map00190	Oxidative phosphorylation
K18859	map00190	Oxidative phosphorylation
K18860	map00190	Oxidative phosphorylation
K22468	map00190	Oxidative phosphorylation
K22501	map00190	Oxidative phosphorylation
K24007	map00190	Oxidative phosphorylation
K24008	map00190	Oxidative phosphorylation
K24009	map00190	Oxidative phosphorylation
K24010	map00190	Oxidative phosphorylation
K24011	map00190	Oxidative phosphorylation
K25801	map00190	Oxidative phosphorylation
K25995	map00190	Oxidative phosphorylation
K25996	map00190	Oxidative phosphorylation
K27109	map00190	Oxidative phosphorylation
K02108	map00195	Photosynthesis
K02109	map00195	Photosynthesis
K02110	map00195	Photosynthesis
K02111	map00195	Photosynthesis
K02112	map00195	Photosynthesis
K02113	map00195	Photosynthesis
K02114	map00195	Photosynthesis
K02115	map00195	Photosynthesis
K02634	map00195	Photosynthesis
K02635	map00195	Photosynthesis
K02636	map00195	Photosynthesis
K02637	map00195	Photosynthesis
K02638	map00195	Photosynthesis
K02639	map00195	Photosynthesis
K02640	map00195	Photosynthesis
K02641	map00195	Photosynthesis
K02642	map00195	Photosynthesis
K02643	map00195	Photosynthesis
K02689	map00195	Photosynthesis
K02690	map00195	Photosynthesis
K02691	map00195	Photosynthesis
K02692	map00195	Photosynthesis
K02693	map00195	Photosynthesis
K02694	map00195	Photosynthesis
K02695	map00195	Photosynthesis
K02696	map00195	Photosynthesis
K02697	map00195	Photosynthesis
K02698	map00195	Photosynthesis
K02699	map00195	Photosynthesis
K02700	map00195	Photosynthesis
K02701	map00195	Photosynthesis
K02702	map00195	Photosynthesis
K02703	map00195	Photosynthesis
K02704	map00195	Photosynthesis
K02705	map00195	Photosynthesis
K02706	map00195	Photosynthesis
K02707	map00195	Photosynthesis
K02708	map00195	Photosynthesis
K02709	map00195	Photosynthesis
K02710	map00195	Photosynthesis
K02711	map00195	Photosynthesis
K02712	map00195	Photosynthesis
K02713	map00195	Photosynthesis
K02714	map00195	Photosynthesis
K02716	map00195	Photosynthesis
K02717	map00195	Photosynthesis
K02718	map00195	Photosynthesis
K02719	map00195	Photosynthesis
K02720	map00195	Photosynthesis
K02721	map00195	Photosynthesis
K02722	map00195	Photosynthesis
K02723	map00195	Photosynthesis
K02724	map00195	Photosynthesis
K03541	map00195	Photosynthesis
K03542	map00195	Photosynthesis
K03689	map00195	Photosynthesis
K08901	map00195	Photosynthesis
K08902	map00195	Photosynthesis
K08903	map00195	Photosynthesis
K08904	map00195	Photosynthesis
K08905	map00195	Photosynthesis
K08906	map00195	Photosynthesis
K14332	map00195	Photosynthesis
K02092	map00196	Photosynthesis - antenna proteins
K02093	map00196	Photosynthesis - antenna proteins
K02094	map00196	Photosynthesis - antenna proteins
K02095	map00196	Photosynthesis - antenna proteins
K02096	map00196	Photosynthesis - antenna proteins
K02097	map00196	Photosynthesis - antenna proteins
K02284	map00196	Photosynthesis - antenna proteins
K02285	map00196	Photosynthesis - antenna proteins
K02286	map00196	Photosynthesis - antenna proteins
K02287	map00196	Photosynthesis - antenna proteins
K02288	map00196	Photosynthesis - antenna proteins
K02289	map00196	Photosynthesis - antenna proteins
K02290	map00196	Photosynthesis - antenna proteins
K02628	map00196	Photosynthesis - antenna proteins
K02629	map00196	Photosynthesis - antenna proteins
K02630	map00196	Photosynthesis - antenna proteins
K02631	map00196	Photosynthesis - antenna proteins
K02632	map00196	Photosynthesis - antenna proteins
K05376	map00196	Photosynthesis - antenna proteins
K05377	map00196	Photosynthesis - antenna proteins
K05378	map00196	Photosynthesis - antenna proteins
K05379	map00196	Photosynthesis - antenna proteins
K05380	map00196	Photosynthesis - antenna proteins
K05381	map00196	Photosynthesis - antenna proteins
K05382	map00196	Photosynthesis - antenna proteins
K05383	map00196	Photosynthesis - antenna proteins
K05384	map00196	Photosynthesis - antenna proteins
K05385	map00196	Photosynthesis - antenna proteins
K05386	map00196	Photosynthesis - antenna proteins
K08907	map00196	Photosynthesis - antenna proteins
K08908	map00196	Photosynthesis - antenna proteins
K08909	map00196	Photosynthesis - antenna proteins
K08910	map00196	Photosynthesis - antenna proteins
K08911	map00196	Photosynthesis - antenna proteins
K08912	map00196	Photosynthesis - antenna proteins
K08913	map00196	Photosynthesis - antenna proteins
K08914	map00196	Photosynthesis - antenna proteins
K08915	map00196	Photosynthesis - antenna proteins
K08916	map00196	Photosynthesis - antenna proteins
K08917	map00196	Photosynthesis - antenna proteins
K14172	map00196	Photosynthesis - antenna proteins
K20713	map00196	Photosynthesis - antenna proteins
K00145	map00220	Arginine biosynthesis
K00260	map00220	Arginine biosynthesis
K00261	map00220	Arginine biosynthesis
K00262	map00220	Arginine biosynthesis
K00491	map00220	Arginine biosynthesis
K00611	map00220	Arginine biosynthesis
K00618	map00220	Arginine biosynthesis
K00619	map00220	Arginine biosynthesis
K00620	map00220	Arginine biosynthesis
K00811	map00220	Arginine biosynthesis
K00812	map00220	Arginine biosynthesis
K00813	map00220	Arginine biosynthesis
K00814	map00220	Arginine biosynthesis
K00818	map00220	Arginine biosynthesis
K00821	map00220	Arginine biosynthesis
K00926	map00220	Arginine biosynthesis
K00930	map00220	Arginine biosynthesis
K01425	map00220	Arginine biosynthesis
K01427	map00220	Arginine biosynthesis
K01428	map00220	Arginine biosynthesis
K01429	map00220	Arginine biosynthesis
K01430	map00220	Arginine biosynthesis
K01438	map00220	Arginine biosynthesis
K01457	map00220	Arginine biosynthesis
K01476	map00220	Arginine biosynthesis
K01478	map00220	Arginine biosynthesis
K01755	map00220	Arginine biosynthesis
K01915	map00220	Arginine biosynthesis
K01940	map00220	Arginine biosynthesis
K01941	map00220	Arginine biosynthesis
K01948	map00220	Arginine biosynthesis
K05597	map00220	Arginine biosynthesis
K05828	map00220	Arginine biosynthesis
K05829	map00220	Arginine biosynthesis
K05830	map00220	Arginine biosynthesis
K05831	map00220	Arginine biosynthesis
K09065	map00220	Arginine biosynthesis
K11067	map00220	Arginine biosynthesis
K11358	map00220	Arginine biosynthesis
K12659	map00220	Arginine biosynthesis
K13240	map00220	Arginine biosynthesis
K13241	map00220	Arginine biosynthesis
K13242	map00220	Arginine biosynthesis
K13427	map00220	Arginine biosynthesis
K14048	map00220	Arginine biosynthesis
K14260	map00220	Arginine biosynthesis
K14272	map00220	Arginine biosynthesis
K14454	map00220	Arginine biosynthesis
K14455	map00220	Arginine biosynthesis
K14541	map00220	Arginine biosynthesis
K14677	map00220	Arginine biosynthesis
K14681	map00220	Arginine biosynthesis
K14682	map00220	Arginine biosynthesis
K15371	map00220	Arginine biosynthesis
K19412	map00220	Arginine biosynthesis
K22476	map00220	Arginine biosynthesis
K22477	map00220	Arginine biosynthesis
K22478	map00220	Arginine biosynthesis
K23265	map00220	Arginine biosynthesis
K25032	map00220	Arginine biosynthesis
K00073	map00230	Purine metabolism
K00087	map00230	Purine metabolism
K00088	map00230	Purine metabolism
K00106	map00230	Purine metabolism
K00364	map00230	Purine metabolism
K00365	map00230	Purine metabolism
K00524	map00230	Purine metabolism
K00525	map00230	Purine metabolism
K00526	map00230	Purine metabolism
K00527	map00230	Purine metabolism
K00601	map00230	Purine metabolism
K00602	map00230	Purine metabolism
K00759	map00230	Purine metabolism
K00760	map00230	Purine metabolism
K00764	map00230	Purine metabolism
K00769	map00230	Purine metabolism
K00839	map00230	Purine metabolism
K00856	map00230	Purine metabolism
K00860	map00230	Purine metabolism
K00892	map00230	Purine metabolism
K00893	map00230	Purine metabolism
K00904	map00230	Purine metabolism
K00926	map00230	Purine metabolism
K00939	map00230	Purine metabolism
K00940	map00230	Purine metabolism
K00942	map00230	Purine metabolism
K00944	map00230	Purine metabolism
K00948	map00230	Purine metabolism
K00951	map00230	Purine metabolism
K00955	map00230	Purine metabolism
K00956	map00230	Purine metabolism
K00957	map00230	Purine metabolism
K00958	map00230	Purine metabolism
K00988	map00230	Purine metabolism
K01081	map00230	Purine metabolism
K01119	map00230	Purine metabolism
K01120	map00230	Purine metabolism
K01129	map00230	Purine metabolism
K01139	map00230	Purine metabolism
K01239	map00230	Purine metabolism
K01241	map00230	Purine metabolism
K01427	map00230	Purine metabolism
K01428	map00230	Purine metabolism
K01429	map00230	Purine metabolism
K01430	map00230	Purine metabolism
K01466	map00230	Purine metabolism
K01477	map00230	Purine metabolism
K01483	map00230	Purine metabolism
K01486	map00230	Purine metabolism
K01487	map00230	Purine metabolism
K01488	map00230	Purine metabolism
K01490	map00230	Purine metabolism
K01492	map00230	Purine metabolism
K01509	map00230	Purine metabolism
K01510	map00230	Purine metabolism
K01511	map00230	Purine metabolism
K01513	map00230	Purine metabolism
K01514	map00230	Purine metabolism
K01515	map00230	Purine metabolism
K01517	map00230	Purine metabolism
K01518	map00230	Purine metabolism
K01519	map00230	Purine metabolism
K01522	map00230	Purine metabolism
K01524	map00230	Purine metabolism
K01525	map00230	Purine metabolism
K01529	map00230	Purine metabolism
K01587	map00230	Purine metabolism
K01588	map00230	Purine metabolism
K01589	map00230	Purine metabolism
K01756	map00230	Purine metabolism
K01768	map00230	Purine metabolism
K01769	map00230	Purine metabolism
K01835	map00230	Purine metabolism
K01839	map00230	Purine metabolism
K01923	map00230	Purine metabolism
K01933	map00230	Purine metabolism
K01939	map00230	Purine metabolism
K01945	map00230	Purine metabolism
K01951	map00230	Purine metabolism
K01952	map00230	Purine metabolism
K02083	map00230	Purine metabolism
K02566	map00230	Purine metabolism
K03651	map00230	Purine metabolism
K03783	map00230	Purine metabolism
K03784	map00230	Purine metabolism
K03787	map00230	Purine metabolism
K03816	map00230	Purine metabolism
K04765	map00230	Purine metabolism
K05810	map00230	Purine metabolism
K05851	map00230	Purine metabolism
K05873	map00230	Purine metabolism
K05961	map00230	Purine metabolism
K06863	map00230	Purine metabolism
K06928	map00230	Purine metabolism
K06952	map00230	Purine metabolism
K06966	map00230	Purine metabolism
K07023	map00230	Purine metabolism
K07127	map00230	Purine metabolism
K07816	map00230	Purine metabolism
K08041	map00230	Purine metabolism
K08042	map00230	Purine metabolism
K08043	map00230	Purine metabolism
K08044	map00230	Purine metabolism
K08045	map00230	Purine metabolism
K08046	map00230	Purine metabolism
K08047	map00230	Purine metabolism
K08048	map00230	Purine metabolism
K08049	map00230	Purine metabolism
K08289	map00230	Purine metabolism
K08312	map00230	Purine metabolism
K08693	map00230	Purine metabolism
K08718	map00230	Purine metabolism
K08722	map00230	Purine metabolism
K09769	map00230	Purine metabolism
K09913	map00230	Purine metabolism
K10353	map00230	Purine metabolism
K10807	map00230	Purine metabolism
K10808	map00230	Purine metabolism
K11029	map00230	Purine metabolism
K11175	map00230	Purine metabolism
K11176	map00230	Purine metabolism
K11177	map00230	Purine metabolism
K11178	map00230	Purine metabolism
K11265	map00230	Purine metabolism
K11751	map00230	Purine metabolism
K11787	map00230	Purine metabolism
K11788	map00230	Purine metabolism
K11808	map00230	Purine metabolism
K12304	map00230	Purine metabolism
K12305	map00230	Purine metabolism
K12318	map00230	Purine metabolism
K12319	map00230	Purine metabolism
K12320	map00230	Purine metabolism
K12321	map00230	Purine metabolism
K12322	map00230	Purine metabolism
K12323	map00230	Purine metabolism
K12324	map00230	Purine metabolism
K13293	map00230	Purine metabolism
K13294	map00230	Purine metabolism
K13296	map00230	Purine metabolism
K13298	map00230	Purine metabolism
K13479	map00230	Purine metabolism
K13480	map00230	Purine metabolism
K13481	map00230	Purine metabolism
K13482	map00230	Purine metabolism
K13483	map00230	Purine metabolism
K13484	map00230	Purine metabolism
K13485	map00230	Purine metabolism
K13713	map00230	Purine metabolism
K13755	map00230	Purine metabolism
K13756	map00230	Purine metabolism
K13757	map00230	Purine metabolism
K13758	map00230	Purine metabolism
K13759	map00230	Purine metabolism
K13760	map00230	Purine metabolism
K13761	map00230	Purine metabolism
K13762	map00230	Purine metabolism
K13763	map00230	Purine metabolism
K13811	map00230	Purine metabolism
K13987	map00230	Purine metabolism
K13988	map00230	Purine metabolism
K14048	map00230	Purine metabolism
K14641	map00230	Purine metabolism
K14642	map00230	Purine metabolism
K14977	map00230	Purine metabolism
K15518	map00230	Purine metabolism
K15519	map00230	Purine metabolism
K15778	map00230	Purine metabolism
K15779	map00230	Purine metabolism
K15780	map00230	Purine metabolism
K16838	map00230	Purine metabolism
K16839	map00230	Purine metabolism
K16840	map00230	Purine metabolism
K16841	map00230	Purine metabolism
K16842	map00230	Purine metabolism
K16855	map00230	Purine metabolism
K16856	map00230	Purine metabolism
K18151	map00230	Purine metabolism
K18283	map00230	Purine metabolism
K18424	map00230	Purine metabolism
K18436	map00230	Purine metabolism
K18437	map00230	Purine metabolism
K18438	map00230	Purine metabolism
K18445	map00230	Purine metabolism
K18447	map00230	Purine metabolism
K18453	map00230	Purine metabolism
K18532	map00230	Purine metabolism
K18533	map00230	Purine metabolism
K18550	map00230	Purine metabolism
K18931	map00230	Purine metabolism
K19021	map00230	Purine metabolism
K19572	map00230	Purine metabolism
K19710	map00230	Purine metabolism
K19836	map00230	Purine metabolism
K19964	map00230	Purine metabolism
K19970	map00230	Purine metabolism
K20881	map00230	Purine metabolism
K21053	map00230	Purine metabolism
K21138	map00230	Purine metabolism
K21636	map00230	Purine metabolism
K22026	map00230	Purine metabolism
K22199	map00230	Purine metabolism
K22600	map00230	Purine metabolism
K22601	map00230	Purine metabolism
K22602	map00230	Purine metabolism
K22879	map00230	Purine metabolism
K22944	map00230	Purine metabolism
K23264	map00230	Purine metabolism
K23265	map00230	Purine metabolism
K23269	map00230	Purine metabolism
K23270	map00230	Purine metabolism
K24670	map00230	Purine metabolism
K24871	map00230	Purine metabolism
K24972	map00230	Purine metabolism
K25500	map00230	Purine metabolism
K25589	map00230	Purine metabolism
K25641	map00230	Purine metabolism
K26110	map00230	Purine metabolism
K26211	map00230	Purine metabolism
K26212	map00230	Purine metabolism
K26955	map00230	Purine metabolism
K26956	map00230	Purine metabolism
K00106	map00232	Caffeine metabolism
K00365	map00232	Caffeine metabolism
K00492	map00232	Caffeine metabolism
K00622	map00232	Caffeine metabolism
K07409	map00232	Caffeine metabolism
K12729	map00232	Caffeine metabolism
K12730	map00232	Caffeine metabolism
K12731	map00232	Caffeine metabolism
K16838	map00232	Caffeine metabolism
K17683	map00232	Caffeine metabolism
K21673	map00232	Caffeine metabolism
K21674	map00232	Caffeine metabolism
K21675	map00232	Caffeine metabolism
K21722	map00232	Caffeine metabolism
K21723	map00232	Caffeine metabolism
K21724	map00232	Caffeine metabolism
K00207	map00240	Pyrimidine metabolism
K00226	map00240	Pyrimidine metabolism
K00254	map00240	Pyrimidine metabolism
K00524	map00240	Pyrimidine metabolism
K00525	map00240	Pyrimidine metabolism
K00526	map00240	Pyrimidine metabolism
K00527	map00240	Pyrimidine metabolism
K00560	map00240	Pyrimidine metabolism
K00608	map00240	Pyrimidine metabolism
K00609	map00240	Pyrimidine metabolism
K00610	map00240	Pyrimidine metabolism
K00756	map00240	Pyrimidine metabolism
K00757	map00240	Pyrimidine metabolism
K00758	map00240	Pyrimidine metabolism
K00761	map00240	Pyrimidine metabolism
K00762	map00240	Pyrimidine metabolism
K00857	map00240	Pyrimidine metabolism
K00876	map00240	Pyrimidine metabolism
K00893	map00240	Pyrimidine metabolism
K00940	map00240	Pyrimidine metabolism
K00943	map00240	Pyrimidine metabolism
K00945	map00240	Pyrimidine metabolism
K01081	map00240	Pyrimidine metabolism
K01119	map00240	Pyrimidine metabolism
K01240	map00240	Pyrimidine metabolism
K01250	map00240	Pyrimidine metabolism
K01431	map00240	Pyrimidine metabolism
K01464	map00240	Pyrimidine metabolism
K01465	map00240	Pyrimidine metabolism
K01485	map00240	Pyrimidine metabolism
K01489	map00240	Pyrimidine metabolism
K01493	map00240	Pyrimidine metabolism
K01494	map00240	Pyrimidine metabolism
K01510	map00240	Pyrimidine metabolism
K01511	map00240	Pyrimidine metabolism
K01513	map00240	Pyrimidine metabolism
K01518	map00240	Pyrimidine metabolism
K01520	map00240	Pyrimidine metabolism
K01591	map00240	Pyrimidine metabolism
K01937	map00240	Pyrimidine metabolism
K01954	map00240	Pyrimidine metabolism
K01955	map00240	Pyrimidine metabolism
K01956	map00240	Pyrimidine metabolism
K02566	map00240	Pyrimidine metabolism
K02823	map00240	Pyrimidine metabolism
K02825	map00240	Pyrimidine metabolism
K03365	map00240	Pyrimidine metabolism
K03465	map00240	Pyrimidine metabolism
K03787	map00240	Pyrimidine metabolism
K04765	map00240	Pyrimidine metabolism
K05961	map00240	Pyrimidine metabolism
K06016	map00240	Pyrimidine metabolism
K06287	map00240	Pyrimidine metabolism
K06952	map00240	Pyrimidine metabolism
K06966	map00240	Pyrimidine metabolism
K07023	map00240	Pyrimidine metabolism
K07043	map00240	Pyrimidine metabolism
K08320	map00240	Pyrimidine metabolism
K08693	map00240	Pyrimidine metabolism
K08722	map00240	Pyrimidine metabolism
K08723	map00240	Pyrimidine metabolism
K09018	map00240	Pyrimidine metabolism
K09019	map00240	Pyrimidine metabolism
K09020	map00240	Pyrimidine metabolism
K09021	map00240	Pyrimidine metabolism
K09023	map00240	Pyrimidine metabolism
K09024	map00240	Pyrimidine metabolism
K09769	map00240	Pyrimidine metabolism
K09887	map00240	Pyrimidine metabolism
K09903	map00240	Pyrimidine metabolism
K09913	map00240	Pyrimidine metabolism
K10213	map00240	Pyrimidine metabolism
K10807	map00240	Pyrimidine metabolism
K10808	map00240	Pyrimidine metabolism
K11540	map00240	Pyrimidine metabolism
K11541	map00240	Pyrimidine metabolism
K11751	map00240	Pyrimidine metabolism
K12304	map00240	Pyrimidine metabolism
K12305	map00240	Pyrimidine metabolism
K12700	map00240	Pyrimidine metabolism
K13421	map00240	Pyrimidine metabolism
K13799	map00240	Pyrimidine metabolism
K13800	map00240	Pyrimidine metabolism
K13809	map00240	Pyrimidine metabolism
K13998	map00240	Pyrimidine metabolism
K14641	map00240	Pyrimidine metabolism
K14642	map00240	Pyrimidine metabolism
K15519	map00240	Pyrimidine metabolism
K16066	map00240	Pyrimidine metabolism
K16328	map00240	Pyrimidine metabolism
K16329	map00240	Pyrimidine metabolism
K16330	map00240	Pyrimidine metabolism
K16904	map00240	Pyrimidine metabolism
K17722	map00240	Pyrimidine metabolism
K17723	map00240	Pyrimidine metabolism
K17828	map00240	Pyrimidine metabolism
K18533	map00240	Pyrimidine metabolism
K18931	map00240	Pyrimidine metabolism
K19794	map00240	Pyrimidine metabolism
K19795	map00240	Pyrimidine metabolism
K19796	map00240	Pyrimidine metabolism
K19797	map00240	Pyrimidine metabolism
K19970	map00240	Pyrimidine metabolism
K21057	map00240	Pyrimidine metabolism
K21636	map00240	Pyrimidine metabolism
K22026	map00240	Pyrimidine metabolism
K24242	map00240	Pyrimidine metabolism
K24670	map00240	Pyrimidine metabolism
K25434	map00240	Pyrimidine metabolism
K25435	map00240	Pyrimidine metabolism
K25589	map00240	Pyrimidine metabolism
K26955	map00240	Pyrimidine metabolism
K00135	map00250	Alanine, aspartate and glutamate metabolism
K00139	map00250	Alanine, aspartate and glutamate metabolism
K00259	map00250	Alanine, aspartate and glutamate metabolism
K00260	map00250	Alanine, aspartate and glutamate metabolism
K00261	map00250	Alanine, aspartate and glutamate metabolism
K00262	map00250	Alanine, aspartate and glutamate metabolism
K00264	map00250	Alanine, aspartate and glutamate metabolism
K00265	map00250	Alanine, aspartate and glutamate metabolism
K00266	map00250	Alanine, aspartate and glutamate metabolism
K00272	map00250	Alanine, aspartate and glutamate metabolism
K00278	map00250	Alanine, aspartate and glutamate metabolism
K00294	map00250	Alanine, aspartate and glutamate metabolism
K00608	map00250	Alanine, aspartate and glutamate metabolism
K00609	map00250	Alanine, aspartate and glutamate metabolism
K00610	map00250	Alanine, aspartate and glutamate metabolism
K00764	map00250	Alanine, aspartate and glutamate metabolism
K00811	map00250	Alanine, aspartate and glutamate metabolism
K00812	map00250	Alanine, aspartate and glutamate metabolism
K00813	map00250	Alanine, aspartate and glutamate metabolism
K00814	map00250	Alanine, aspartate and glutamate metabolism
K00820	map00250	Alanine, aspartate and glutamate metabolism
K00823	map00250	Alanine, aspartate and glutamate metabolism
K00827	map00250	Alanine, aspartate and glutamate metabolism
K00830	map00250	Alanine, aspartate and glutamate metabolism
K01424	map00250	Alanine, aspartate and glutamate metabolism
K01425	map00250	Alanine, aspartate and glutamate metabolism
K01437	map00250	Alanine, aspartate and glutamate metabolism
K01580	map00250	Alanine, aspartate and glutamate metabolism
K01744	map00250	Alanine, aspartate and glutamate metabolism
K01755	map00250	Alanine, aspartate and glutamate metabolism
K01756	map00250	Alanine, aspartate and glutamate metabolism
K01779	map00250	Alanine, aspartate and glutamate metabolism
K01914	map00250	Alanine, aspartate and glutamate metabolism
K01915	map00250	Alanine, aspartate and glutamate metabolism
K01939	map00250	Alanine, aspartate and glutamate metabolism
K01940	map00250	Alanine, aspartate and glutamate metabolism
K01948	map00250	Alanine, aspartate and glutamate metabolism
K01953	map00250	Alanine, aspartate and glutamate metabolism
K01954	map00250	Alanine, aspartate and glutamate metabolism
K01955	map00250	Alanine, aspartate and glutamate metabolism
K01956	map00250	Alanine, aspartate and glutamate metabolism
K03334	map00250	Alanine, aspartate and glutamate metabolism
K05597	map00250	Alanine, aspartate and glutamate metabolism
K07250	map00250	Alanine, aspartate and glutamate metabolism
K08324	map00250	Alanine, aspartate and glutamate metabolism
K08590	map00250	Alanine, aspartate and glutamate metabolism
K09758	map00250	Alanine, aspartate and glutamate metabolism
K11358	map00250	Alanine, aspartate and glutamate metabolism
K11540	map00250	Alanine, aspartate and glutamate metabolism
K11541	map00250	Alanine, aspartate and glutamate metabolism
K13051	map00250	Alanine, aspartate and glutamate metabolism
K13524	map00250	Alanine, aspartate and glutamate metabolism
K13566	map00250	Alanine, aspartate and glutamate metabolism
K13821	map00250	Alanine, aspartate and glutamate metabolism
K14260	map00250	Alanine, aspartate and glutamate metabolism
K14268	map00250	Alanine, aspartate and glutamate metabolism
K14272	map00250	Alanine, aspartate and glutamate metabolism
K14454	map00250	Alanine, aspartate and glutamate metabolism
K14455	map00250	Alanine, aspartate and glutamate metabolism
K14592	map00250	Alanine, aspartate and glutamate metabolism
K14681	map00250	Alanine, aspartate and glutamate metabolism
K15371	map00250	Alanine, aspartate and glutamate metabolism
K16871	map00250	Alanine, aspartate and glutamate metabolism
K17761	map00250	Alanine, aspartate and glutamate metabolism
K18309	map00250	Alanine, aspartate and glutamate metabolism
K18310	map00250	Alanine, aspartate and glutamate metabolism
K18311	map00250	Alanine, aspartate and glutamate metabolism
K19244	map00250	Alanine, aspartate and glutamate metabolism
K22457	map00250	Alanine, aspartate and glutamate metabolism
K23265	map00250	Alanine, aspartate and glutamate metabolism
K05551	map00253	Tetracycline biosynthesis
K05552	map00253	Tetracycline biosynthesis
K05553	map00253	Tetracycline biosynthesis
K12420	map00253	Tetracycline biosynthesis
K14244	map00253	Tetracycline biosynthesis
K14249	map00253	Tetracycline biosynthesis
K14250	map00253	Tetracycline biosynthesis
K14251	map00253	Tetracycline biosynthesis
K14252	map00253	Tetracycline biosynthesis
K14253	map00253	Tetracycline biosynthesis
K14254	map00253	Tetracycline biosynthesis
K14255	map00253	Tetracycline biosynthesis
K14256	map00253	Tetracycline biosynthesis
K14257	map00253	Tetracycline biosynthesis
K18221	map00253	Tetracycline biosynthesis
K21297	map00253	Tetracycline biosynthesis
K21301	map00253	Tetracycline biosynthesis
K01946	map00254	Aflatoxin biosynthesis
K11262	map00254	Aflatoxin biosynthesis
K15316	map00254	Aflatoxin biosynthesis
K17643	map00254	Aflatoxin biosynthesis
K17644	map00254	Aflatoxin biosynthesis
K17645	map00254	Aflatoxin biosynthesis
K17646	map00254	Aflatoxin biosynthesis
K17647	map00254	Aflatoxin biosynthesis
K17648	map00254	Aflatoxin biosynthesis
K17649	map00254	Aflatoxin biosynthesis
K17650	map00254	Aflatoxin biosynthesis
K17651	map00254	Aflatoxin biosynthesis
K17652	map00254	Aflatoxin biosynthesis
K24438	map00254	Aflatoxin biosynthesis
K24439	map00254	Aflatoxin biosynthesis
K24440	map00254	Aflatoxin biosynthesis
K24855	map00254	Aflatoxin biosynthesis
K24856	map00254	Aflatoxin biosynthesis
K24857	map00254	Aflatoxin biosynthesis
K24858	map00254	Aflatoxin biosynthesis
K00003	map00260	Glycine, serine and threonine metabolism
K00018	map00260	Glycine, serine and threonine metabolism
K00049	map00260	Glycine, serine and threonine metabolism
K00058	map00260	Glycine, serine and threonine metabolism
K00060	map00260	Glycine, serine and threonine metabolism
K00090	map00260	Glycine, serine and threonine metabolism
K00108	map00260	Glycine, serine and threonine metabolism
K00130	map00260	Glycine, serine and threonine metabolism
K00133	map00260	Glycine, serine and threonine metabolism
K00273	map00260	Glycine, serine and threonine metabolism
K00274	map00260	Glycine, serine and threonine metabolism
K00276	map00260	Glycine, serine and threonine metabolism
K00281	map00260	Glycine, serine and threonine metabolism
K00282	map00260	Glycine, serine and threonine metabolism
K00283	map00260	Glycine, serine and threonine metabolism
K00301	map00260	Glycine, serine and threonine metabolism
K00302	map00260	Glycine, serine and threonine metabolism
K00303	map00260	Glycine, serine and threonine metabolism
K00304	map00260	Glycine, serine and threonine metabolism
K00305	map00260	Glycine, serine and threonine metabolism
K00306	map00260	Glycine, serine and threonine metabolism
K00309	map00260	Glycine, serine and threonine metabolism
K00314	map00260	Glycine, serine and threonine metabolism
K00315	map00260	Glycine, serine and threonine metabolism
K00382	map00260	Glycine, serine and threonine metabolism
K00479	map00260	Glycine, serine and threonine metabolism
K00499	map00260	Glycine, serine and threonine metabolism
K00542	map00260	Glycine, serine and threonine metabolism
K00544	map00260	Glycine, serine and threonine metabolism
K00552	map00260	Glycine, serine and threonine metabolism
K00600	map00260	Glycine, serine and threonine metabolism
K00605	map00260	Glycine, serine and threonine metabolism
K00613	map00260	Glycine, serine and threonine metabolism
K00639	map00260	Glycine, serine and threonine metabolism
K00643	map00260	Glycine, serine and threonine metabolism
K00827	map00260	Glycine, serine and threonine metabolism
K00830	map00260	Glycine, serine and threonine metabolism
K00831	map00260	Glycine, serine and threonine metabolism
K00836	map00260	Glycine, serine and threonine metabolism
K00865	map00260	Glycine, serine and threonine metabolism
K00872	map00260	Glycine, serine and threonine metabolism
K00928	map00260	Glycine, serine and threonine metabolism
K00998	map00260	Glycine, serine and threonine metabolism
K01079	map00260	Glycine, serine and threonine metabolism
K01620	map00260	Glycine, serine and threonine metabolism
K01694	map00260	Glycine, serine and threonine metabolism
K01695	map00260	Glycine, serine and threonine metabolism
K01696	map00260	Glycine, serine and threonine metabolism
K01697	map00260	Glycine, serine and threonine metabolism
K01733	map00260	Glycine, serine and threonine metabolism
K01752	map00260	Glycine, serine and threonine metabolism
K01753	map00260	Glycine, serine and threonine metabolism
K01754	map00260	Glycine, serine and threonine metabolism
K01758	map00260	Glycine, serine and threonine metabolism
K01834	map00260	Glycine, serine and threonine metabolism
K01837	map00260	Glycine, serine and threonine metabolism
K02203	map00260	Glycine, serine and threonine metabolism
K02204	map00260	Glycine, serine and threonine metabolism
K02437	map00260	Glycine, serine and threonine metabolism
K06001	map00260	Glycine, serine and threonine metabolism
K06718	map00260	Glycine, serine and threonine metabolism
K06720	map00260	Glycine, serine and threonine metabolism
K08688	map00260	Glycine, serine and threonine metabolism
K10150	map00260	Glycine, serine and threonine metabolism
K10674	map00260	Glycine, serine and threonine metabolism
K11440	map00260	Glycine, serine and threonine metabolism
K11529	map00260	Glycine, serine and threonine metabolism
K12235	map00260	Glycine, serine and threonine metabolism
K12524	map00260	Glycine, serine and threonine metabolism
K12525	map00260	Glycine, serine and threonine metabolism
K12526	map00260	Glycine, serine and threonine metabolism
K12972	map00260	Glycine, serine and threonine metabolism
K13042	map00260	Glycine, serine and threonine metabolism
K13290	map00260	Glycine, serine and threonine metabolism
K13745	map00260	Glycine, serine and threonine metabolism
