Query_name,Agricultural land,Grasslands,Other,Peat,Rhizosphere,Temperate forest,Tropical forest
K00086,0.008843231832013973,-0.0018536748413700722,0.0015603754833242915,-0.0027137627010801663,0.0031534714304128748,-0.0034816003986168445,-0.0046977555060845385
K00087,0.004632045681702894,-0.002706694086635019,0.0028591920320661206,-0.0024091930057120584,0.001145100216345225,-0.0012279598379527012,-0.0028141378386328307
K00090,0.007515834097112915,-0.003228704556313295,0.003234933013740213,-0.004447124709368858,0.0057145847188268565,-0.005756739989346048,-0.006552568434315922
K00091,0.010246129705157363,-0.0028770664407240317,0.003501182642678659,-0.007510794824031661,0.005411553773936073,-0.004082248049249538,-0.0048054417393442565
K00093,0.007963168157642267,-0.0018650289476608046,0.0007601608265393289,-0.0022095369916432556,0.002939292512696149,-0.002856221197365004,-0.0036649104961783033
K00094,-0.010717385856060111,-0.004658062952622326,0.0055161728952502,-0.006768669025337354,0.008688306263553467,-0.0074091863748465695,-0.001462095654868223
K00095,-0.007583483627840725,-0.004529125716235501,0.003440062058705954,-0.0067580574410854325,0.009447379053112747,-0.008286370749172003,0.000408797444616182
K00098,-0.00892182075511574,-0.005634230457089286,0.00612826011375259,-0.013854456204573765,0.01501592897134497,-0.014937900657500072,0.003776489904008907
K00100,0.008959594408277696,-0.0021116605998474742,0.0008062745366709517,-0.0020801726585865394,0.0026127568683256145,-0.0027775532165890456,-0.0035661430434936656
K00102,0.0013548552700176906,-0.0031529358995401303,0.0013839039388544047,-0.0016209933549543745,0.002791843413977109,-0.0022297004798778114,-0.0016793663255356053
K00104,0.0006156901957241373,-0.0029044022342948274,0.0009882401529021888,-0.0017025041822347,0.002460523508842352,-0.0018322911785499986,-0.00022915395385211611
K00108,-0.007566656294780941,-0.0018603481222227364,0.003984970204861405,-0.004163742680755152,0.0060519012866637936,-0.003215090433472467,-0.006096933844484303
K00114,-0.005579545190918955,0.00042348338960240416,-0.0001696358136024762,-0.002196602422038354,0.0032988341245887933,-0.0010241743136487763,-3.654616814020945e-05
K00115,-0.007656210879496299,-0.0004253271697957747,0.002995154560071224,-0.003573642658065442,0.005340730429255761,-0.0032432192719435236,-0.004646151589277152
K00117,-0.006835045727343281,0.002149118390685458,-6.4891852714879e-05,-0.002424327129144683,0.003424235356000922,-0.001866018356458841,-0.00018712281703462695
K00118,-0.002531327494990048,-0.01147465892901907,0.017981259668925935,-0.007695830217781773,0.0026384767797486327,-0.01081314170736687,-0.004755908246378066
K00119,-0.011845399263536643,-0.005987586859858062,0.003469031491349081,-0.009337770374517117,0.013777022658704579,-0.009391568089605224,-0.0006018069785909534
K00123,-0.002359083023865684,0.001077241045367688,0.0011217251635673696,-0.004282359913977228,0.0021275934220691376,-0.0037582220032637966,0.004878597118591021
K00128,-0.0007453572965725062,-0.011833277197833725,0.008048782493600037,-0.021331710783210518,0.02514271758624654,-0.025229644088693846,0.002923653566098569
K00129,-0.006955557001264552,-0.010628017845249409,0.005125980696997218,-0.013593902409976991,0.016172909022330862,-0.01500240108190195,0.006696284472213191
K00130,-0.0007298750111069396,-0.011638975895223409,0.008165886956384613,-0.021658314858493323,0.02573189072861294,-0.025609066558285286,0.002075765121189851
K00131,0.0007001998237074628,-0.012293911078697858,0.00866049406269237,-0.021686006226643607,0.02533785970002619,-0.025464625512362095,0.001761744511840338
