	Agricultural land	Grasslands	Other	Peat	Rhizosphere	Temperate forest	Tropical forest	Unclassified
PTU-00247	0	0	0	0	1	0	0	0
PTU-00248	0	0	0	1	0	0	0	1
PTU-00249	1	1	0	1	1	1	1	0
PTU-00250	0	0	0	0	1	0	0	0
PTU-00251	1	0	0	0	1	0	0	1
PTU-00252	0	0	0	0	1	0	0	0
PTU-00253	0	0	0	0	1	0	0	1
PTU-00254	0	0	1	0	1	0	0	1
PTU-00255	0	1	0	1	0	0	0	0
PTU-00256	0	0	0	0	1	0	0	0
PTU-00257	0	0	0	0	1	0	0	0
PTU-00258	0	0	0	0	1	0	0	0
PTU-00259	0	0	1	0	1	0	0	0
PTU-00260	0	0	0	0	1	0	0	1
PTU-00261	1	0	0	0	1	0	0	0
PTU-00262	1	1	1	0	1	0	1	0
PTU-00263	1	1	0	1	1	1	0	1
PTU-00264	0	1	0	0	0	0	0	0
PTU-00265	0	0	0	1	0	0	0	0
PTU-00266	1	0	1	0	1	0	0	0
PTU-00267	0	0	1	0	0	1	0	1
PTU-00268	1	0	1	0	1	0	0	1
PTU-00269	1	1	0	0	0	1	0	1
PTU-00270	1	0	0	0	1	0	0	0
PTU-00271	0	0	0	1	0	0	0	0
PTU-00272	0	1	0	0	1	0	0	0
PTU-00273	0	0	0	0	1	0	0	0
PTU-00274	0	0	0	1	0	0	0	0
PTU-00275	1	0	1	0	0	0	0	1
PTU-00276	0	0	0	0	1	0	0	0
PTU-00277	0	0	1	1	0	0	0	0
PTU-00278	1	0	1	0	1	0	0	1
PTU-00279	0	0	0	0	1	0	0	1
PTU-00280	0	1	1	1	1	1	0	0
PTU-00281	0	0	0	0	1	0	0	0
PTU-00282	0	0	0	0	1	0	0	0
PTU-00283	0	1	0	0	1	0	0	0
PTU-00284	1	0	0	0	1	1	0	0
PTU-00285	1	1	1	0	1	1	0	1
PTU-00286	0	1	0	1	0	0	0	0
PTU-00287	0	1	1	1	0	1	0	0
PTU-00288	1	0	0	0	1	0	0	1
PTU-00289	1	0	1	0	1	0	0	0
PTU-00290	0	0	0	1	0	0	0	1
PTU-00291	0	0	1	1	0	1	0	1
PTU-00292	0	0	1	1	0	0	0	0
PTU-00293	0	0	0	0	0	1	0	0
PTU-00294	0	1	0	0	0	0	0	0
PTU-00295	1	1	1	0	1	0	0	0
PTU-00296	0	1	0	0	1	0	0	0
PTU-00297	0	1	0	1	0	0	0	0
PTU-00298	0	0	0	0	1	0	0	0
PTU-00299	0	1	1	0	1	0	1	0
PTU-00300	1	1	0	0	1	1	0	1
PTU-00301	1	1	0	0	1	0	0	1
PTU-00302	0	0	0	1	0	0	0	0
PTU-00303	0	0	0	0	0	1	0	0
PTU-00304	0	0	0	1	0	0	0	0
PTU-00305	0	0	0	0	1	0	0	1
PTU-00306	1	0	1	1	0	1	0	0
PTU-00307	0	0	1	1	0	0	0	1
PTU-00308	1	0	0	0	1	0	0	1
PTU-00309	0	0	0	0	1	0	0	1
PTU-00310	0	0	0	0	1	0	0	1
PTU-00311	0	0	1	1	0	1	0	0
PTU-00312	1	0	0	0	1	0	0	1
PTU-00313	1	1	0	0	1	1	1	0
PTU-00314	0	1	0	1	0	0	0	0
PTU-00315	0	0	1	0	0	0	0	0
PTU-00316	0	0	0	0	1	0	0	0
PTU-00317	0	0	0	1	1	1	0	1
PTU-00318	0	0	0	0	0	0	0	1
PTU-00319	1	1	1	0	1	1	0	1
PTU-00320	0	0	1	1	0	0	0	0
PTU-00321	1	0	1	0	1	0	1	1
PTU-00322	0	1	0	1	0	0	0	0
PTU-00323	0	0	0	1	0	1	0	1
PTU-00324	0	0	0	1	0	0	0	0
PTU-00325	0	0	0	1	0	0	0	0
PTU-00326	0	0	0	1	0	0	0	0
PTU-00327	0	1	0	1	0	0	0	0
PTU-00328	0	0	0	1	0	0	0	0
PTU-00329	1	1	1	0	1	0	0	0
PTU-00330	1	1	0	0	0	1	0	0
PTU-00331	0	0	0	0	1	0	0	0
PTU-00332	0	0	0	0	1	0	0	0
PTU-00333	0	0	0	0	0	0	0	1
PTU-00334	0	0	0	0	1	0	0	0
PTU-00335	0	0	1	1	0	0	0	0
PTU-00336	0	0	0	0	1	0	0	0
PTU-00337	0	0	0	0	1	0	0	0
PTU-00338	1	0	0	0	0	0	0	0
PTU-00339	1	0	1	0	1	0	0	0
PTU-00340	1	0	0	0	1	0	0	1
PTU-00341	0	0	0	0	1	0	0	0
PTU-00342	0	0	0	0	1	0	0	0
PTU-00343	1	1	0	0	1	1	0	1
PTU-00344	1	0	0	0	1	0	0	1
PTU-00345	0	0	0	1	0	0	0	0
PTU-00346	0	0	0	0	1	0	0	0
PTU-00347	1	1	0	0	1	1	0	0
PTU-00348	1	0	0	1	1	0	0	0
PTU-00349	0	0	0	1	0	0	0	0
PTU-00350	0	0	0	0	1	0	0	0
PTU-00351	0	0	0	1	0	0	0	0
PTU-00352	1	0	0	0	1	0	0	1
PTU-00353	1	0	0	0	0	0	0	1
PTU-00354	0	0	0	0	1	0	0	0
PTU-00355	0	0	0	0	1	0	0	1
PTU-00356	1	0	0	0	1	0	1	0
PTU-00357	0	0	0	0	1	0	0	0
